Dish,Protein (g),Fat (g),Carbohydrates (g),cuisines,allergy,Tags,image_url
Grilled Cheese,18,22,15,"[""Mediterranean""]","[""Dairy""]","[""Drinks"",""Snacks""]",https://media.istockphoto.com/id/1172821079/photo/grilled-cheese-sandwich-close-up.jpg?s=612x612&w=0&k=20&c=0ygSDAVxz4sm11PSHbe9Bw_AEWmcFnUv0seM3vogmwQ=
Mashed Potatoes,4,8,25,"[""Mediterranean""]","[""Dairy""]","[""Drinks"",""Snacks""]",https://media.istockphoto.com/id/1036966044/photo/mashed-potatoes-with-gravy-for-thanksgiving.jpg?s=612x612&w=0&k=20&c=hVLnx8Zkg8XNpgG8w-COdVaoSUhGE-hCykpvfzR1FJU=
Fried Chicken,6,10,18,"[""Mediterranean""]","[""Dairy""]","[""Drinks"",""Snacks""]",https://media.istockphoto.com/id/477596753/photo/homemade-southern-fried-chicken.jpg?s=612x612&w=0&k=20&c=8b_5KjKmmO34ChsqVZN4-1YlDXyVJNlKh3w6qtVjR88=
Apple Pie,10,18,22,"[""Mediterranean""]","[""Dairy""]","[""Drinks"",""Snacks""]",https://media.istockphoto.com/id/512602151/photo/classic-american-apple-pie.jpg?s=612x612&w=0&k=20&c=krwnHH-iAq_upwg1_dedZhgPADY6IOg-y9tuYEQJiv0=
Hot Dogs,15,14,12,"[""Mediterranean""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1457130362/photo/fresh-hot-dog-on-wooden-background.jpg?s=612x612&w=0&k=20&c=Wb5fklRD1cJFxcg304rUlK-rui3HwUHHFpEzXg3HxIc=
BBQ Ribs,4,10,12,"[""Mediterranean"", ""Seafood""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/155431877/photo/barbecue-ribs.jpg?s=612x612&w=0&k=20&c=dhgNEMKLSDT23JP3rk1VgBLSeaGeCX9mDxPg6W8otOs=
Mac and Cheese,25,8,5,"[""American""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1425485863/photo/mac-and-cheese-in-red-pot-traditional-american-food.jpg?s=612x612&w=0&k=20&c=KJ8h7pBZoY6Mpec1kIFAaJeVI-O5tlylSV6mgOTvCZA=
chicken 65,16,16,37,"[""American""]","[""Dairy""]","[""Breakfast""]",https://media.istockphoto.com/id/1265212584/photo/fried-chicken-kebab-or-kabab.jpg?s=612x612&w=0&k=20&c=9SulVwQF9foRRyCtZhTiAi2bVrsADAYA19OuuCM42Zw=
chicken biryani,33,33,36,[],"[""Dairy""]","[""Breakfast""]",https://media.istockphoto.com/id/1333127665/photo/chicken-biryani-spicy-indian-malabar-biryani-hyderabadi-biryani-dum-biriyani-pulao-golden.jpg?s=612x612&w=0&k=20&c=63UXYPOISm8nJ8SNK79dDm0w1gY6jXzYQP0heL6fnOg=
chicken chettinad,3,15,41,"[""American""]","[""Dairy""]","[""Breakfast""]",https://media.istockphoto.com/id/1155729469/photo/chettinad-chicken-curry-in-a-clay-pot-directly-from-above-photo.jpg?s=612x612&w=0&k=20&c=LNiHwivoHdN5DPIzefVpaZ8ZgG75zUTQ4p2yvTqYigY=
chicken curry,15,26,31,"[""American""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
chicken fried rice,4,9,36,"[""American""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
chicken hakka noodles,15,20,14,"[""American""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1158363529/photo/schezwan-noodles-with-vegetables-in-a-plate.jpg?s=612x612&w=0&k=20&c=wOHxFHiLY47A7PsC_34od_ykcqrwbxy2axy1TKYtFCU=
chicken jalfrezi,2,14,43,"[""American""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/666553456/photo/chicken-tikka-jalfrezi-indian-food.jpg?s=612x612&w=0&k=20&c=BBvn4kLOWMQzYhECo8f3m1QnPWIIJN44wn7afZReViY=
chicken karahi,10,15,18,"[""American""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1443602402/photo/chicken-karahi-korma-msala-served-in-dish-isolated-on-table-top-view-of-asian-and-indian-food.jpg?s=612x612&w=0&k=20&c=Ir7YJfthuCg-nVxVStgSvV217pYSbvHVFTwFXTFtfmU=
chicken korma,25,26,0,"[""American""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1053423374/photo/coconut-chicken-in-a-spicy-cream-sauce-close-up-horizontal-top-view.jpg?s=612x612&w=0&k=20&c=ROQpgzQqLsMnX4IGkrsrKJCOfz7-0P41K3nKKzgN_Pg=
chicken lollipop,19,22,38,"[""Indian""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1090739066/photo/appetizer-chicken-lollipop.jpg?s=612x612&w=0&k=20&c=Uefuv0OMXVxp0hxWX-hNAZ3vSyaM_wdcUYrMZ7mAd5o=
chicken madras,25,8,5,"[""Indian""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/137072008/photo/curry-naan-amp-poppadoms.jpg?s=612x612&w=0&k=20&c=F461X9DDb1Mkex2_A_k5S6CIsl-7QaCM2jBUiC7Ok7Y=
chicken makhani,28,8,13,"[""Indian""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1227594550/photo/chicken-curry-creamy-chicken-butter.jpg?s=612x612&w=0&k=20&c=U9SzDx7mjCA5iS1qb8cDUNNkIGD6mJJhwLvEHXL-OlE=
chicken manchurian,33,13,13,"[""Indian""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1072959600/photo/indian-chilli-chicken-dry-served-in-a-plate-over-moody-background-selective-focus.jpg?s=612x612&w=0&k=20&c=xV3oz_Nhi6_5gfoNE1qO_qUrqnlCoiM4cziUbxSKSx8=
chicken momo,28,10,5,"[""Chinese""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/803171476/photo/gyoza-dumplings-2.jpg?s=612x612&w=0&k=20&c=KE6FaVckPUzTpzvP46ff3dngI9uwVz7oT3pz-GbKUwE=
chicken noodles,18,13,35,"[""Indian"", ""Chinese""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
chicken pakora,18,13,45,"[""Indian""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1511077926/photo/indian-chicken-pakora-with-lemon-and-onion-close-up-photo.jpg?s=612x612&w=0&k=20&c=g_C6UPQ_EMkIttx-MV7GWQLyY8srWysAN22y8b7Y7ug=
chicken saag,30,8,5,"[""Indian""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1349386514/photo/palak-spinach-chicken-topped-with-makhan-butter-in-a-traditional-clay-pot.jpg?s=612x612&w=0&k=20&c=RcLRs-mpxY5UBe9eazZAx2wBZI_lro88MaLkiptt6AI=
chicken seekh kebab,30,10,4,"[""Indian""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
chicken soup,23,18,23,"[""American""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
chicken tikka,23,13,13,"[""Indian""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
chicken tikka kebab,35,15,25,"[""Indian""]","[""Dairy""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
chicken tikka masala,35,25,10,"[""Indian""]","[""Dairy"", ""Nuts""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/967274038/photo/homemade-chicken-tikka-masala.jpg?s=612x612&w=0&k=20&c=XAGwToalj5RmqFnlfjQ6z2mE8iS2VctZryxrxuGvNwc=
chicken vindaloo,25,9,10,"[""Indian""]","[""Dairy"", ""Nuts""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
chicken wings,15,5,23,"[""American""]","[""Dairy"", ""Nuts""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/835903320/photo/baked-chicken-wings-with-sesame-seeds-and-sweet-chili-sauce-on-white-wooden-board.jpg?s=612x612&w=0&k=20&c=SH8ZCkEKuWD_wxulpntIJ0uD4yRnUf9UXovQwSwrmmA=
chilli chicken,10,8,35,"[""Indian""]","[""Dairy"", ""Nuts""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1072951288/photo/indian-chilli-chicken-dry-served-in-a-plate-over-moody-background-selective-focus.jpg?s=612x612&w=0&k=20&c=WkAg8lRGsRa4XLt90XdPKIdo5qGe_SfnGzqrNi8sp9g=
chilli paneer,18,13,10,"[""Indian""]","[""Dairy"", ""Nuts""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1389161234/photo/chilli-mushroom-indian-snack-food.jpg?s=612x612&w=0&k=20&c=ULd9M--SV7IKWlWk5-QUlEGn9_kYRz3EqMZX5cVhq-U=
chocolate milk,28,9,4,"[""Indian""]","[""Dairy"", ""Nuts""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
coconut milk,22,5,3,"[""American""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
coffee,12,8,13,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
collard greens,27,6,3,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
cucumber,25,6,3,"[""Indian""]","[""Dairy"", ""Nuts""]","[""NA""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
daal makhani,35,20,25,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
daal tadka,30,9,5,"[""American""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
dahi bhalla,24,11,21,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
dragon fruit,28,13,13,"[""Indian""]","[""Dairy"", ""Nuts""]","[""NA""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
egg biryani,18,13,23,"[""American""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/533977506/photo/egg-biryani-or-anda-biryani-using-basmati-rice-and-spices.jpg?s=612x612&w=0&k=20&c=RsounODcM62UJt2inVniytfe-l1INdzrE42Y6Bfa_-o=
egg dosa,3,21,2,"[""American""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/945606006/photo/chicken-fried-rice.jpg?s=612x612&w=0&k=20&c=n3p_r97vJlp013wlxD5WyDYviR0ADj6LiS5QKOYYQLY=
eggs,10,4,28,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Drinks""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
fish biryani,10,18,55,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1364069594/photo/fish-biriyani.jpg?s=612x612&w=0&k=20&c=GP24S04qZQsXldbC334ubMkAXbs47vGUtJJ62nodsls=
fish curry,2,23,6,"[""American""]","[""Dairy"", ""Nuts""]","[""Drinks""]",https://media.istockphoto.com/id/1295772368/photo/macher-jhol-in-black-bowl-on-dark-slate-table-top-indian-cuisine-bengali-fish-curry-asian.jpg?s=612x612&w=0&k=20&c=3asIIURIgisLwXAijZnmNY3p2EWEZEHzByjk7ke9xZk=
fish pakora,0,21,21,"[""Indian"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1224017194/photo/a-plate-full-of-fried-squid-in-batter.jpg?s=612x612&w=0&k=20&c=dwVAO3qY6TGMXfoGUipWY_ihxtgfSOQdgdzRfciBYTM=
fish tikka,3,21,3,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""Dairy"", ""Nuts""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
fresh yogurt mango smoothie,1,21,2,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
fried rice,18,13,45,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
fries,10,8,35,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
gaajar halwa,10,8,35,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1208754471/photo/gajar-ka-halwa.jpg?s=612x612&w=0&k=20&c=lfYKARLXHS2CbHtuU25uDnQQ1YMg83T_qS_eFB8wNRg=
goat biryani,5,5,10,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/701211554/photo/keema-kheema-biryani-basmati-rice-cooked-with-minced-meat-and-aromatic-spices-selective-focus.jpg?s=612x612&w=0&k=20&c=tzp9d-1udFKoxyhTQPhSI56h21H-RVIpG4I7ce5DSbY=
goat curry,1,1,12,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
goat korma,18,8,5,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1421211322/photo/dal-gosht-or-daal-gosht-is-one-of-the-very-popular-mutton-recipes-in-india-mutton-cooked-with.jpg?s=612x612&w=0&k=20&c=f5kPu_jcTX8O5Jf4jAMQItuzcyGKb3RfveTd5_m-ugU=
goat vindaloo,14,8,4,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
gobi 65,10,5,25,"[""Chinese""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1494080995/photo/chicken-65-dry-in-plate-on-wooden-background.jpg?s=612x612&w=0&k=20&c=q9LsUCjQyIqTJsMiIEX9d2dmkuGkyhUNMSq6oNFNp10=
grapefruit,12,5,5,"[""American""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/546187188/photo/pink-grapefruit-with-sugar.jpg?s=612x612&w=0&k=20&c=ZD4nw6e_tNehxaUi_1VZwcNUsJ4CX_F8jIgCglDdvIg=
grapes,6,3,21,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/682505832/photo/ripe-red-grape-pink-bunch-with-leaves-isolated-on-white-with-clipping-path-full-depth-of-field.jpg?s=612x612&w=0&k=20&c=7HyvyF89MIe9C2ItIOJYKSbqXqvuZSnOB8ScKIg9zOg=
green salad,23,13,45,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/953810510/photo/green-salad-with-fresh-vegetables.jpg?s=612x612&w=0&k=20&c=OyC-xDuR4SUnY3CCnzXc1RAI12CxpLF0g-M8yQ_NeUs=
guava,30,8,5,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/171575811/photo/guava.jpg?s=612x612&w=0&k=20&c=cjVDpisFrT8JlqFbSEImkfsXgQbtrNCdSTILGAzIj2Q=
honeydew melon,10,3,4,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/537641958/photo/green-organic-honeydew-melon.jpg?s=612x612&w=0&k=20&c=LrCpotYBJv0bY5POKDd-7bvftDUMxTUsRvQsg2WyFQ4=
kadai chicken,28,5,3,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/673858790/photo/butter-chicken-curry-with-tender-chicken-breast-cream-butter-honey.jpg?s=612x612&w=0&k=20&c=c_9bYsi6T3vnCz5_iYqdZViX3iPV4r3fL2oTGSps8W8=
kadhai paneer,28,13,23,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/836277050/photo/indian-food-or-indian-curry-in-a-copper-brass-serving-bowl.jpg?s=612x612&w=0&k=20&c=Cvf1SBOkeQdFzP9bJs12WMSC3RQECj1-VA4GKxDl4OQ=
kheer,9,21,2,"[""Chinese""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/980089086/photo/rice-pudding-or-kheer-from-india-called-also-called-firnee-served-in-a-bowl-selective-focus.jpg?s=612x612&w=0&k=20&c=k69t8VUFXzoAzQcn0qxdPRdO1BHRqR36gGWpd5PhJ6g=
lachha paratha,8,13,35,[],"[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1292639158/photo/lachha-paratha-a-layered-flat-bread-using-wheat-flour-popular-dish-in-north-india-isolated.jpg?s=612x612&w=0&k=20&c=ORNh907nisLkBlRL9wZlSRlPS3FxNoRQ-nRZWZ-6eIY=
lamb biryani,2,9,3,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1254720346/photo/gosht-pulao-or-mutton-biryani-popular-indian-non-vegetarian-food.jpg?s=612x612&w=0&k=20&c=sfs9VboobOpESO4F63_wcQtPHwBTJv0SOJsLXp3AGiE=
lamb chops,4,13,35,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/467413730/photo/grilled-lamb-chops-organized-on-a-white-plate-on-wood.jpg?s=612x612&w=0&k=20&c=XyYp05pGAQx5FqYV6diCbaC1puKaeAzVOVvQIS845bY=
lamb curry,30,13,10,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/608005280/photo/mutton-rogan-josh-mutton-curry-indian-cuisine.jpg?s=612x612&w=0&k=20&c=F-sjeDrKuwqVh51seSkRV7Lng8ujiObyJPDxLvz3oOM=
lamb korma,30,13,3,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1421211322/photo/dal-gosht-or-daal-gosht-is-one-of-the-very-popular-mutton-recipes-in-india-mutton-cooked-with.jpg?s=612x612&w=0&k=20&c=f5kPu_jcTX8O5Jf4jAMQItuzcyGKb3RfveTd5_m-ugU=
lamb rogan josh,28,12,4,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1168659065/photo/kashmiri-lamb-rogan-josh-slow-cooked-lamb-curry-served-with-pulao-rice-and-garnished-with.jpg?s=612x612&w=0&k=20&c=4fzZvmpAy7qSw3v8tqK3qa7-69Q5E9ATe9TsbN5l5C8=
lamb seekh kebab,30,10,5,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/501266025/photo/seekh-kabab-5.jpg?s=612x612&w=0&k=20&c=D6JXEtB4OLF9A91nAfDYLlh507LlbmP_M9PZBoJqD9Q=
lamb tikka masala,10,8,10,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/504819588/photo/indian-style-cottage-cheese-vegetarian-curry-dish.jpg?s=612x612&w=0&k=20&c=Cc4LmBf3RAAQY6h8q060sL-FB8mq4Lbj_SaJHOoxYZs=
lamb vindaloo,19,18,33,"[""American""]","[""Dairy"", ""Nuts""]","[""NA"",""Breakfast""]",https://media.istockphoto.com/id/1163676678/photo/lamb-curry-lamb-vindaloo-in-a-bowl-on-white-background.jpg?s=612x612&w=0&k=20&c=wGexhfqg5Qx274Dv7UxLmuN7H1zetH9yDAqUU9KV7e4=
lassi,1,21,7,"[""Mediterranean""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1175588974/photo/homemade-sweet-indian-mango-lassi.jpg?s=612x612&w=0&k=20&c=LrdSjAeUValK2TDlMXKaALyK4B2miSXXDS_340ETbZk=
lemon rice,1,21,14,"[""Mediterranean""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/483790424/photo/south-indian-lemon-rice.jpg?s=612x612&w=0&k=20&c=ZucsIrf_JvTC42aIqOdUZqFie1TUf2a1UU2GxO8fBO4=
lentil soup,3,4,5,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/120599192/photo/fresh-lentil-stew.jpg?s=612x612&w=0&k=20&c=gQNA3QRVQ87MdyP9hXPkP7khP3fuLoZDI_6v95sq-dI=
malai kofta,3,21,7,[],"[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1219174099/photo/malai-kofta-curry-in-black-bowl-at-dark-slate-background-malai-kofta-is-indian-cuisine-dish.jpg?s=612x612&w=0&k=20&c=ZqajoGuZIjQ_37LU7ZDyRpCJTCuLctwClGVumH2xCfM=
mango lassi,2,4,15,"[""American"", ""Mediterranean""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1175588974/photo/homemade-sweet-indian-mango-lassi.jpg?s=612x612&w=0&k=20&c=LrdSjAeUValK2TDlMXKaALyK4B2miSXXDS_340ETbZk=
milk,1,21,4,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
mutton biryani,30,10,4,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Snacks""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
mysore masala dosa,18,10,5,"[""Indian""]","[""Dairy"", ""Nuts""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
